Time,Channel A
(ms),(V)

89.67199977,-4.32081100
89.67399977,-4.33118700
89.67599977,-4.34156300
89.67799977,-4.29944800
89.67999977,-4.32081100
89.68199977,-4.34156300
89.68399977,-4.32081100
89.68599977,-4.32081100
89.68799977,-4.29944800
89.68999977,-4.27869500
89.69199977,-4.34156300
89.69399977,-4.27869500
89.69599977,-4.35194000
89.69799977,-4.33118700
89.69999977,-4.30982400
89.70199977,-4.28907100
89.70399977,-4.32081100
89.70599977,-4.32081100
89.70799977,-4.33118700
89.70999977,-4.32081100
89.71199977,-4.30982400
89.71399977,-4.30982400
89.71599977,-4.32081100
89.71799977,-4.33118700
89.71999977,-4.29944800
89.72199977,-4.34156300
89.72399977,-4.37330200
89.72599977,-4.26770800
89.72799977,-4.34156300
89.72999977,-4.28907100
89.73199977,-4.29944800
89.73399977,-4.29944800
89.73599977,-4.36292600
89.73799977,-4.32081100
89.73999977,-4.35194000
89.74199977,-4.29944800
89.74399977,-4.30982400
89.74599977,-4.29944800
89.74799977,-4.32081100
89.74999977,-4.36292600
89.75199977,-4.34156300
89.75399977,-4.29944800
89.75599977,-4.32081100
89.75799977,-4.32081100
89.75999977,-4.34156300
89.76199977,-4.32081100
89.76399977,-4.34156300
89.76599977,-4.30982400
89.76799977,-4.32081100
89.76999977,-4.29944800
89.77199977,-4.34156300
89.77399977,-4.30982400
89.77599977,-4.28907100
89.77799977,-4.30982400
89.77999977,-4.36292600
89.78199977,-4.32081100
89.78399977,-4.32081100
89.78599977,-4.32081100
89.78799977,-4.29944800
89.78999977,-4.30982400
89.79199977,-4.28907100
89.79399977,-4.32081100
89.79599977,-4.32081100
89.79799977,-4.32081100
89.79999977,-4.30982400
89.80199977,-4.30982400
89.80399977,-4.34156300
89.80599977,-4.32081100
89.80799977,-4.30982400
89.80999977,-4.28907100
89.81199977,-4.34156300
89.81399977,-4.30982400
89.81599977,-4.35194000
89.81799977,-4.34156300
89.81999977,-4.38367900
89.82199977,-4.30982400
89.82399977,-4.28907100
89.82599977,-4.29944800
89.82799977,-4.29944800
89.82999977,-4.32081100
89.83199977,-4.34156300
89.83399977,-4.34156300
89.83599977,-4.30982400
89.83799977,-4.33118700
89.83999977,-4.32081100
89.84199977,-4.26770800
89.84399977,-4.30982400
89.84599977,-4.29944800
89.84799977,-4.34156300
89.84999977,-4.36292600
89.85199977,-4.34156300
89.85399977,-4.37330200
89.85599977,-4.32081100
89.85799977,-4.32081100
89.85999977,-4.35194000
89.86199977,-4.26770800
89.86399977,-4.33118700
89.86599977,-4.30982400
89.86799977,-4.33118700
